"Method"	"SC_rep"	"ST_rep"	"RMSE"	"CARD_RMSE"	"PercentDiff"
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	2	1	0.000936054418465298	0.00070191269623104	-33.3576701905372
"SPOTlight"	2	1	0.000744232474796565	0.00070191269623104	-6.02920830364859
"STdeconvolve"	2	1	0.0010272088112389	0.00070191269623104	-46.3442414925049
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	3	1	0.000792203707534212	0.000593221520846979	-33.5426446436288
"SPOTlight"	3	1	0.00112999759890937	0.000593221520846979	-90.4849300301858
"STdeconvolve"	3	1	0.00134804246669722	0.000593221520846979	-127.240991657304
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
"SpatialDecon"	4	1	0.000869276322201178	0.000604398478400818	-43.8250348513785
"SPOTlight"	4	1	0.000602617038978187	0.000604398478400818	0.294745848359002
"STdeconvolve"	4	1	0.00098798868651121	0.000604398478400818	-63.4664417298561
